city,max water temperature F,average water temperature F,min water temperature F,max water temperature C ,average water temperature C,min water temperature C,Population,Region,WaterPollution
anchorage, 39.7,36.9, 34.1, 4.3, 2.7, 1.2,247949," ""Alaska""",18.75
atlantic city, 53, 46.4, 39.8, 11.7, 8, 4.4,237054," ""New Jersey""",37.5
baltimore, 53, 48.7, 44.5, 11.7, 9.3, 7,2106068," ""Maryland""",64.13043478
bellingham, 46.6, 45, 43.3, 8.1, 7.2, 6.3,130641," ""Washington""",30
boca raton, 80.7, 77, 73.3, 27.1, 25, 23,99805," ""Florida""",34.61538462
boston, 45.8, 41.9, 38, 7.7, 5.5, 3.4,4688346," ""Massachusetts""",32.91139241
bridgeport, 47.8, 43.2, 38.5, 8.8, 6.2, 3.6,924449," ""Connecticut""",66.66666667
brooklyn, 51.3, 45.1, 39, 10.7, 7.3, 3.9,2559903," ""New York""",33.65384615
buffalo, 43.2, 39, 34.9, 6.2, 3.9, 1.6,914341," ""New York""",36.95652174
buffalo, 43.2, 39, 34.9, 6.2, 3.9, 1.6,914341," ""North Dakota""",50
cape coral, 79.1, 74.3, 69.5, 26.2, 23.5, 20.9,668382," ""Florida""",25
carlsbad, 62.2, 59.5, 56.9, 16.8, 15.3, 13.9,115382," ""California""",25
charleston, 71.3, 65.3, 59.3, 21.9, 18.5, 15.2,628377," ""West Virginia""",50
charleston, 71.3, 65.3, 59.3, 21.9, 18.5, 15.2,628377," ""South Carolina""",57.69230769
chesapeake, 63.1, 57.6, 52, 17.3, 14.2, 11.1,244835," ""West Virginia""",37.5
chicago, 45.2, 40.8, 36.4, 7.4, 4.9, 2.5,8604203," ""Illinois""",53.62068966
chula vista, 62.2, 60.6, 59.1, 16.8, 15.9, 15.1,274492," ""California""",75
clearwater, 78.3, 73, 67.8, 25.7, 22.8, 19.9,116946," ""Florida""",35.71428571
cleveland, 45.5, 39.7, 34, 7.5, 4.3, 1.1,1710093," ""Ohio""",54.54545455
corpus christi, 78.7, 72.1, 65.6, 26, 22.3, 18.7,342464," ""Texas""",68.18181818
daytona beach, 75.9, 70.9, 65.8, 24.4, 21.6, 18.8,69186," ""Florida""",46.42857143
detroit, 43.1, 38.8, 34.6, 6.2, 3.8, 1.5,3506126," ""Michigan""",52.08333333
erie, 42.6, 37.9, 33.3, 5.9, 3.3, 0.7,184484," ""Pennsylvania""",100
everett, 47.4, 45.7, 44, 8.6, 7.6, 6.7,111475," ""Washington""",32.14285714
fall river, 50.3, 44.1, 37.9, 10.2, 6.7, 3.3,89541," ""Massachusetts""",50
fort lauderdale, 81.1, 77.4, 73.7, 27.3, 25.2, 23.2,182437," ""Florida""",42.10526316
fort myers, 79.1, 75, 71, 26.2, 23.9, 21.7,87103," ""Florida""",85
